ردیف,ردیف کالا,کد گروه کالا,شرح گروه کالا,شروع اعتبار BOM ,کد كالا مصرفی,شرح كالا مصرفی,سیکل یک عدد ( ثانیه),وزن (یک عدد),واحد وزن,کد مواد مصرفی,مشخصات مواد مصرفی,کد گروه مواد,گروه مواد مصرفی,درصد مصرف مواد,مقدار مصرف,واحد وزن مواد
1,1,905010,مونتاژ نشده پیچی,3/21/2025,10002002,بدنه نر 1.2*20,48,27,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,19.11,گرم
2,1,905010,مونتاژ نشده پیچی,3/21/2025,10002002,بدنه نر 1.2*20,48,27,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,6.37,گرم
3,1,905010,مونتاژ نشده پیچی,3/21/2025,10002002,بدنه نر 1.2*20,48,27,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,1.53,گرم
4,2,905010,مونتاژ نشده پیچی,3/21/2025,10002503,بدنه نر 3.4*25,67,34,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,24.06,گرم
5,2,905010,مونتاژ نشده پیچی,3/21/2025,10002503,بدنه نر 3.4*25,67,34,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,8.02,گرم
6,2,905010,مونتاژ نشده پیچی,3/21/2025,10002503,بدنه نر 3.4*25,67,34,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,1.92,گرم
7,3,905010,مونتاژ نشده پیچی,3/21/2025,10003210,بدنه نر 1*32,55,52,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,36.8,گرم
8,3,905010,مونتاژ نشده پیچی,3/21/2025,10003210,بدنه نر 1*32,55,52,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,12.26,گرم
9,3,905010,مونتاژ نشده پیچی,3/21/2025,10003210,بدنه نر 1*32,55,52,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,2.94,گرم
10,4,905010,مونتاژ نشده پیچی,3/21/2025,10004011,بدنه نر 11.4*40,65,98,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,69.34,گرم
11,4,905010,مونتاژ نشده پیچی,3/21/2025,10004011,بدنه نر 11.4*40,65,98,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,23.11,گرم
12,4,905010,مونتاژ نشده پیچی,3/21/2025,10004011,بدنه نر 11.4*40,65,98,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,5.55,گرم
13,5,905010,مونتاژ نشده پیچی,3/21/2025,10005012,بدنه نر 11.2*50,74,133,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,94.11,گرم
14,5,905010,مونتاژ نشده پیچی,3/21/2025,10005012,بدنه نر 11.2*50,74,133,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,31.36,گرم
15,5,905010,مونتاژ نشده پیچی,3/21/2025,10005012,بدنه نر 11.2*50,74,133,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,7.53,گرم
16,6,905010,مونتاژ نشده پیچی,3/21/2025,10005020,بدنه نر 2*50,61,139,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,94.34,131.13,گرم
17,6,905010,مونتاژ نشده پیچی,3/21/2025,10005020,بدنه نر 2*50,61,139,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,7.87,گرم
18,7,905010,مونتاژ نشده پیچی,3/21/2025,10006320,بدنه نر 2*63,125,171,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,121,گرم
19,7,905010,مونتاژ نشده پیچی,3/21/2025,10006320,بدنه نر 2*63,125,171,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,40.32,گرم
20,7,905010,مونتاژ نشده پیچی,3/21/2025,10006320,بدنه نر 2*63,125,171,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,9.68,گرم
21,8,905010,مونتاژ نشده پیچی,3/21/2025,10007520,بدنه نر 2*75,204,349,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,246.95,گرم
22,8,905010,مونتاژ نشده پیچی,3/21/2025,10007520,بدنه نر 2*75,204,349,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,82.29,گرم
23,8,905010,مونتاژ نشده پیچی,3/21/2025,10007520,بدنه نر 2*75,204,349,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,19.75,گرم
24,9,905010,مونتاژ نشده پیچی,3/21/2025,10007522,بدنه نر 21.2*75,133,356,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,94.34,335.85,گرم
25,9,905010,مونتاژ نشده پیچی,3/21/2025,10007522,بدنه نر 21.2*75,133,356,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,20.15,گرم
26,10,905010,مونتاژ نشده پیچی,3/21/2025,10009030,بدنه نر 3*90,175,507,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,358.75,گرم
27,10,905010,مونتاژ نشده پیچی,3/21/2025,10009030,بدنه نر 3*90,175,507,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,119.55,گرم
28,10,905010,مونتاژ نشده پیچی,3/21/2025,10009030,بدنه نر 3*90,175,507,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,28.7,گرم
29,11,905010,مونتاژ نشده پیچی,3/21/2025,10011040,بدنه نر 4*110,227,836,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,94.34,788.68,گرم
30,11,905010,مونتاژ نشده پیچی,3/21/2025,10011040,بدنه نر 4*110,227,836,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,47.32,گرم
31,12,905010,مونتاژ نشده پیچی,3/21/2025,10012540,بدنه نر 4*125,242,1081,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,764.92,گرم
32,12,905010,مونتاژ نشده پیچی,3/21/2025,10012540,بدنه نر 4*125,242,1081,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,254.9,گرم
33,12,905010,مونتاژ نشده پیچی,3/21/2025,10012540,بدنه نر 4*125,242,1081,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,61.18,گرم
34,13,905010,مونتاژ نشده پیچی,3/21/2025,10012550,بدنه نر 5*125,242,1181,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,835.68,گرم
35,13,905010,مونتاژ نشده پیچی,3/21/2025,10012550,بدنه نر 5*125,242,1181,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,278.48,گرم
36,13,905010,مونتاژ نشده پیچی,3/21/2025,10012550,بدنه نر 5*125,242,1181,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,66.84,گرم
37,14,905010,مونتاژ نشده پیچی,3/21/2025,10201600,توری ابفشان,7,1,گرم,62021400,مواد بوشینگ,920000020,مواد بوشینگ,100,1,گرم
38,15,905010,مونتاژ نشده پیچی,3/21/2025,11002002,بدنه ماده 1.2*20,48,31,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,21.94,گرم
39,15,905010,مونتاژ نشده پیچی,3/21/2025,11002002,بدنه ماده 1.2*20,48,31,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,7.31,گرم
40,15,905010,مونتاژ نشده پیچی,3/21/2025,11002002,بدنه ماده 1.2*20,48,31,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,1.75,گرم
41,16,905010,مونتاژ نشده پیچی,3/21/2025,11002503,بدنه ماده 3.4*25,55,37,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,26.18,گرم
42,16,905010,مونتاژ نشده پیچی,3/21/2025,11002503,بدنه ماده 3.4*25,55,37,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,8.72,گرم
43,16,905010,مونتاژ نشده پیچی,3/21/2025,11002503,بدنه ماده 3.4*25,55,37,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,2.09,گرم
44,17,905010,مونتاژ نشده پیچی,3/21/2025,11003210,بدنه ماده 1*32,61,49,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,94.34,46.23,گرم
45,17,905010,مونتاژ نشده پیچی,3/21/2025,11003210,بدنه ماده 1*32,61,49,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,2.77,گرم
46,18,905010,مونتاژ نشده پیچی,3/21/2025,11004011,بدنه اتصال ماده 11/4*40  ,65,89,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,62.98,گرم
47,18,905010,مونتاژ نشده پیچی,3/21/2025,11004011,بدنه اتصال ماده 11/4*40  ,65,89,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,20.99,گرم
48,18,905010,مونتاژ نشده پیچی,3/21/2025,11004011,بدنه اتصال ماده 11/4*40  ,65,89,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,5.04,گرم
49,19,905010,مونتاژ نشده پیچی,3/21/2025,11005012,بدنه ماده 11.2*50,89,113,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,79.96,گرم
50,19,905010,مونتاژ نشده پیچی,3/21/2025,11005012,بدنه ماده 11.2*50,89,113,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,26.65,گرم
51,19,905010,مونتاژ نشده پیچی,3/21/2025,11005012,بدنه ماده 11.2*50,89,113,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,6.4,گرم
52,20,905010,مونتاژ نشده پیچی,3/21/2025,11006320,بدنه ماده 2*63,86,146,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,103.31,گرم
53,20,905010,مونتاژ نشده پیچی,3/21/2025,11006320,بدنه ماده 2*63,86,146,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,34.43,گرم
54,20,905010,مونتاژ نشده پیچی,3/21/2025,11006320,بدنه ماده 2*63,86,146,گرم,90000041,مواد رنگ مشکی PE-911,920000010,مواد رنگ مشکی,5.66,8.26,گرم
55,21,905010,مونتاژ نشده پیچی,3/21/2025,11007520,بدنه ماده 2*75,155,250,گرم,50000010,مواد نوید زر ZB332 - PP ,920000001,مواد پلی پروپیلن اصلی PP,70.76,176.9,گرم
56,21,905010,مونتاژ نشده پیچی,3/21/2025,11007520,بدنه ماده 2*75,155,250,گرم,60000001,مواد گرانول,920000005,مواد پلی پروپیلن گرانول PP,23.58,58.95,گرم
