ردیف,ردیف محصول,شماره سفارش,کد گروه کالا,شرح گروه کالا,شروع اعتبار BOM ,کد محصول,نام محصول,واحد جزء,ضریب کل,واحد کل,سیکل محصول,کد كالا مصرفی,شرح كالا مصرفی,"وزن کالا
(یک عدد)","وزن کل
(یک بسته)",واحد وزن,"BOM
(یک عدد)"," کل BOM
(یک بسته)",واحد BOM
1,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,71000000,هولوگرام,0,0,گرم,1,14,عدد
2,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,71000008,لیبل خام 10*8,0,0,گرم,0.0714,1,عدد
3,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,71000011,لیبل زرد کنترل شد,0,0,گرم,0.0714,1,عدد
4,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,71605002,واشر آب بندی 50,7,98,گرم,1,14,عدد
5,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,99100004,کارتن پروتکت بزرگ,55.2,773,گرم,0.0714,1,عدد
6,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,99100628,سوزن منگنه کارتن,0.7,10,گرم,0.5714,8,عدد
7,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,711005045,بدنه سه راه تبدیل 45-50*110 پروتکت,205.6,2878.4,گرم,1,14,عدد
8,1,910005045,901010,پوش فیت پروتکت,3/21/2025,11005045,سه راه تبدیل 45-50*110 پروتکت,عدد,14,کارتن,41,71611003,واشر آب بندی 110,20,280,گرم,1,14,عدد
9,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,71000000,هولوگرام,0,0,گرم,1,15,عدد
10,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,71000008,لیبل خام 10*8,0,0,گرم,0.0667,1,عدد
11,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,71000011,لیبل زرد کنترل شد,0,0,گرم,0.0667,1,عدد
12,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,71605002,واشر آب بندی 50,7,105,گرم,1,15,عدد
13,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,71611003,واشر آب بندی 110,20,300,گرم,1,15,عدد
14,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,99100004,کارتن پروتکت بزرگ,51.5,773,گرم,0.0667,1,عدد
15,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,99100628,سوزن منگنه کارتن,0.7,10,گرم,0.5333,8,عدد
16,2,910005087,901010,پوش فیت پروتکت,3/21/2025,11005087,سه راه تبدیل87-50*110 پروتکت,عدد,15,کارتن,46,711005087,بدنه سه راه تبدیل87-50*110 پروتکت,187.5,2812.5,گرم,1,15,عدد
17,3,970004003,901010,پوش فیت پروتکت,3/21/2025,70004003,لوله یکسر سوکت 30-40 پروتکت,شاخه,18,بسته,48,71000009,لیبل کاغذی 51*34 دو ردیفه,0,0,گرم,0.0556,1,عدد
18,3,970004003,901010,پوش فیت پروتکت,3/21/2025,70004003,لوله یکسر سوکت 30-40 پروتکت,شاخه,18,بسته,48,71604000,واشر آب بندی 40,5,90,گرم,1,18,عدد
