تاریخ اجرائی BOM از ,کد گروه کالا,شرح گروه کالا,کد کالا قدیم,شرح کالا قدیم,درصد کالا قدیم,توضیحات ,کد کالا جدید,شرح کالا جدید,درصد کالا جدید,کد BOM,توضیحات تکمیلی
1404/01/01,,,,,,,,,,1.0.0.0,"این ورژن از تاریخ 1404/05/01 پس از تکمیل در سیستم رایورز بارگذاری شد، اولین اجرای ساختار یافته BOM به صورت سیستمی از این تاریخ به بعد می باشد."
1404/06/31,901010,پوش فیت پروتکت,90000030,مواد  پلی اتیلن خام EX3,97.56,مورد مصرف برای اقلام فاضلابی پروتکت,90000030,مواد  پلی اتیلن خام EX3,99.01,2.0.0.0,
1404/06/31,,,50000007,رنگ طوسی پوش فیت,2.44,,50000007,رنگ طوسی پوش فیت,0.99,2.0.0.0,
1404/06/31,904010,لوله,90000042,مواد پلی اتیلن PE100,68.35,این ترکیب از تاریخ مورده اشاره دیگر تولید نمیشود.,90000042,مواد پلی اتیلن PE100,63.91,2.0.0.0, مورد استفاده برای لوله فاضلابی +6
1404/06/31,904010,لوله,90000030,مواد  پلی اتیلن خام EX3,17.09,,90000030,مواد  پلی اتیلن خام EX3,11.28,,
1404/06/31,904010,لوله,90000041,مواد رنگ مشکی PE-911,5.47,,90000041,مواد رنگ مشکی PE-911,4.81,,
1404/06/31,904010,لوله,51000013,مواد آسیابی پلی اتیلن,9.09,,51000013,مواد آسیابی پلی اتیلن,20,,
1404/06/31,904010,لوله,90000042,مواد پلی اتیلن PE100,72.62,از این تاریخ به بعد ترکیب مواد اولیه برای لوله های فاضلابی 6+ پلی اتیلن با ترکیب جدید تولید می شود .,90000042,مواد پلی اتیلن PE100,63.91,2.0.0.0,
1404/06/31,904010,لوله,90000030,مواد  پلی اتیلن خام EX3,12.82,,90000030,مواد  پلی اتیلن خام EX3,11.28,2.0.0.0,
1404/06/31,904010,لوله,90000041,مواد رنگ مشکی PE-911,5.47,,90000041,مواد رنگ مشکی PE-911,4.81,2.0.0.0,
1404/06/31,904010,لوله,51000013,مواد آسیابی پلی اتیلن,9.09,,51000013,مواد آسیابی پلی اتیلن,20,2.0.0.0,
1404/06/31,903060,پیچی,*,*,*,"این محصولات از قبل تولید شده بود اما به دلیل نداشتن کد در سیستم رایورز ، کد آن تعریف و موجودی به سیستم اضافه شد .",51016001,زانو 16 با مواد ABS,1500,2.0.0.0,
,903060,پیچی,*,*,*,,52016001,رابط 16با مواد ABS,2000,2.0.0.0,
,903060,پیچی,*,*,*,,54016001,سه راه16با مواد ABS,1100,2.0.0.0,
1404/06/31,903060,پیچی,*,*,*,"ترکیب درصد مواد مصرفی برای تولید زانو 16 ، رابط 16 و سه راه 16 که با مواد ABS تولید شده است .",61511000,مواد A B S,100,2.0.0.0,
1404/06/31,901030,سایلنت 10,90000036,مواد سایلنت ایرانی خط لوله,77.5,این ترکیب از تاریخ مورده اشاره دیگر تولید نمیشود.,90000036,مواد سایلنت ایرانی خط لوله,73.81,2.0.0.0,مورد مصرف برای لوله های سایلنت 10
,901030,سایلنت 10,90000061,مواد کامپاند 1050 RC,15,,90000061,مواد کامپاند 1050 RC,14.29,,
,901030,سایلنت 10,90000001,مواد رطوبت گیر,2.5,,90000001,مواد رطوبت گیر,2.38,,
,901030,سایلنت 10,51000011,مواد  آسیابی سایلنت 10,5,,51000011,مواد  آسیابی سایلنت 10,9.52,,
,901030,سایلنت 10,50000010,مواد نوید زر ZB332 - PP ,98.5,,50000010,مواد نوید زر ZB332 - PP ,98.5,,
,901030,سایلنت 10,90000003,رنگ کرم سایلنت,1.5,,90000003,رنگ کرم سایلنت,1.5,,
1404/06/31,901020,پوش فیت جنرال سایلنت ,85907500,سیفون سوکت دار سایز 75 با موفه کوتاه 75 جنرال سایلنت,2,از این تاریخ به بعد این محصول از بسته بندی سلفونی به بسته بندی کارتن و تعداد در بسته بندی از 2 عدد به 9 عدد تغییر کرد .,859075009,سیفون سوکت دار سایز 75 با موفه کوتاه 75 جنرال سایلنت,9,2.0.0.0,
1404/06/31,901010,پوش فیت پروتکت,75907500,سیفون سوکت دار سایز 75 با موفه کوتاه 75 پروتکت,2,از این تاریخ به بعد این محصول از بسته بندی سلفونی به بسته بندی کارتن و تعداد در بسته بندی از 2 عدد به 9 عدد تغییر کرد .,759075009,سیفون سوکت دار سایز 75 با موفه کوتاه 75 پروتکت,9,2.0.0.0,
1404/06/31,903080,لوله 16,90000022,مواد سفید HD0075,18,"مورد مصرف برای لوله  16
با استاندارد PE 32
این ترکیب همچنان برای محصولات سفارشی تولید خواهد شد.",90000064,مواد LL 209 ,17,2.0.0.0,"مورد مصرف برای لوله  16
با استاندارد PE 40
این ترکیب از تاریخ مورد اشاره به محصولات اضافه شده است."
1404/06/31,903080,لوله 16,90000030,مواد  پلی اتیلن خام EX3,18,,90000030,مواد  پلی اتیلن خام EX3,27,,
1404/06/31,903080,لوله 16,65000015,مواد LL235F6,50,,65000015,مواد LL235F6,50,,
1404/06/31,903080,لوله 16,90000057,مواد رنگ مشکی 926,6,,90000057,مواد رنگ مشکی 926,6,,
